,City,Temperature,Humidity,Cloudiness,Wind Speed,Lat,Lng
62,Nanortalik,37.11,92,98,7.74,60.1432,-45.2371
63,Vestmanna,45.52,93,40,16.11,62.1564,-7.1664
64,Lompoc,54.05,94,1,5.75,34.6391,-120.4579
65,Lebu,53.83,96,80,3.38,-37.6167,-73.65
66,Harper,78.64,85,97,2.37,4.375,-7.7169
67,Mahébourg,77.29,65,75,17.27,-20.4081,57.7
68,Nazas,77.02,38,3,5.41,25.2333,-104.1333
69,Busselton,66.04,76,10,6.98,-33.65,115.3333
70,Rondonópolis,66.29,96,100,1.88,-16.4708,-54.6356
71,Mataura,44.96,85,100,4.29,-46.1927,168.8643
72,Cape Town,57.81,83,40,3.44,-33.9258,18.4232
73,Tasiilaq,35.65,99,100,2.71,65.6145,-37.6368
74,Provideniya,39.42,93,98,10.58,64.3833,-173.3
75,Port Alfred,74.68,38,100,10.69,-33.5906,26.891
76,Little Current,54.27,90,98,5.48,45.9793,-81.9248
77,Chokurdakh,67.73,23,58,15.3,70.6333,147.9167
78,Bluff,49.51,77,100,8.63,-46.6,168.3333
79,Vostok,63.09,87,34,6.51,46.4856,135.8833
80,Jamestown,63.55,94,90,5.01,42.097,-79.2353
81,Thompson,53.76,94,90,9.22,55.7435,-97.8558
82,Katherine,86.32,26,63,6.91,-14.4667,132.2667
83,Cidreira,50.47,75,49,12.33,-30.1811,-50.2056
84,Qiyang,90.45,65,43,3.67,26.5911,111.8474
85,Boden,55.4,95,100,12.1,65.8252,21.6886
86,Nikolskoye,62.49,97,100,4.92,59.7035,30.7861
87,Yulara,76.84,12,6,6.91,-25.2406,130.9889
88,Cabedelo,70.47,85,52,11.41,-6.9811,-34.8339
89,Katsuura,79.75,78,79,12.59,35.1333,140.3
90,Nishihara,85.93,72,75,8.05,26.1842,127.7558
91,East London,79.74,25,0,2.3,-33.0153,27.9116
92,Kapaa,73.9,73,40,1.01,22.0752,-159.319
93,Buguruslan,69.73,64,94,15.86,53.6554,52.442
94,Puerto Ayora,72.55,92,72,5.01,-0.7393,-90.3518
95,Turukhansk,47.77,78,100,8.21,65.8167,87.9833
96,Qaanaaq,32.67,67,76,5.17,77.484,-69.3632
97,Hualmay,63.39,87,45,6.44,-11.0964,-77.6139
98,Honiara,79.38,88,42,5.61,-9.4333,159.95
99,Kavieng,82.96,75,7,11.97,-2.5744,150.7967
100,College,57.79,63,75,0.0,64.8569,-147.8028
101,Punta Arenas,33.91,100,0,4.61,-53.15,-70.9167
102,Barrow,30.22,86,90,4.61,71.2906,-156.7887
103,Portland,57.09,89,46,1.01,45.5234,-122.6762
104,San Cristobal,63.81,96,54,4.0,7.7669,-72.225
105,San Patricio,80.35,96,15,8.9,28.017,-97.5169
106,Muros,67.62,68,0,8.57,42.7762,-9.0603
107,Kavaratti,83.71,76,100,21.16,10.5669,72.642
108,Caravelas,68.09,95,85,4.03,-17.7125,-39.2481
109,Pouembout,72.84,80,100,0.2,-21.1333,164.9
110,Poronaysk,54.52,97,100,8.05,49.2167,143.1167
111,Pisco,62.65,77,90,4.61,-13.7,-76.2167
112,Longyearbyen,37.24,60,75,13.8,78.2186,15.6401
113,Hithadhoo,83.3,73,17,10.92,-0.6,73.0833
114,Bāsudebpur,93.74,49,99,5.12,21.1353,86.7386
115,Rundu,65.46,27,77,9.06,-17.9333,19.7667
116,Husavik,37.31,77,100,13.11,66.0449,-17.3389
117,Rudnyy,75.43,25,1,13.42,52.9594,63.1206
118,Morristown,69.66,73,90,5.75,36.214,-83.2949
119,Leshan,82.08,64,99,2.73,29.5623,103.7639
120,Clyde River,35.83,80,1,8.05,70.4692,-68.5914
121,Souillac,77.38,65,75,17.27,-20.5167,57.5167
122,Pangai,74.5,69,22,25.3,-19.8,-174.35
123,Conceição da Barra,68.02,97,72,5.37,-18.5933,-39.7322
124,Yellowknife,41.52,100,90,9.22,62.456,-114.3525
125,Nayoro,63.77,91,94,14.97,44.3506,142.4578
126,São João da Barra,69.42,82,99,17.09,-21.6403,-41.0511
127,Liuhe,84.42,50,95,5.12,42.2401,125.7172
128,Ambilobe,87.75,48,7,0.49,-13.2,49.05
129,Nsanje,77.49,41,0,3.91,-16.92,35.262
130,Craig,42.76,52,1,0.0,40.5153,-107.5464
131,Tsimmerbude,68.05,77,100,11.68,54.675,20.1347
132,Emerald,73.54,17,0,3.44,-23.5333,148.1667
133,Namatanai,81.66,71,11,8.55,-3.6667,152.4333
134,Wanning,80.29,90,100,22.93,18.8003,110.3967
135,Kieta,80.19,78,3,7.02,-6.2167,155.6333
136,Palmer,58.73,82,90,0.0,42.1584,-72.3287
137,Vestmannaeyjar,43.3,57,7,17.63,63.4427,-20.2734
138,Buraidah,97.25,7,0,19.71,26.326,43.975
139,Severo-Kuril'sk,49.39,83,94,8.41,50.6789,156.125
140,Tuatapere,51.26,89,100,5.99,-46.1333,167.6833
141,Ukiah,59.65,85,90,0.0,39.1502,-123.2078
142,Kasongo-Lunda,82.27,37,50,5.23,-6.4667,16.8167
143,Lapa,45.48,96,4,1.92,-25.7697,-49.7158
144,Havelock,74.75,92,34,5.99,34.8791,-76.9013
145,Pa Sang,84.72,79,100,1.59,18.5262,98.9394
146,Bredasdorp,49.32,93,100,1.14,-34.5322,20.0403
147,Paamiut,38.23,83,100,10.22,61.994,-49.6678
148,George Town,91.15,59,20,8.01,5.4112,100.3354
149,Vasto,76.32,50,4,13.27,42.1243,14.7059
150,Araouane,91.17,33,0,16.8,18.9048,-3.5265
151,Saskylakh,54.57,32,96,11.52,71.9167,114.0833
152,Roald,51.44,87,75,18.41,62.5833,6.1333
153,Belyy Yar,62.49,42,0,6.71,53.6039,91.3903
154,Yerköy,71.37,50,77,0.83,39.6381,34.4672
155,Keetmanshoop,59.92,31,99,12.66,-26.5833,18.1333
156,Puerto del Rosario,69.55,83,40,14.97,28.5004,-13.8627
157,Hofn,43.03,54,4,18.59,64.2539,-15.2082
158,Richards Bay,69.87,62,0,10.51,-28.783,32.0377
159,Yangi Marg`ilon,88.52,18,76,4.61,40.4272,71.7189
160,Noumea,73.0,99,100,6.76,-22.2763,166.4572
161,Grand-Santi,70.81,99,100,1.36,4.25,-54.3833
162,Matamoros,80.11,37,0,6.35,25.5333,-103.25
163,Farafenni,81.39,72,99,5.28,13.5667,-15.6
164,Saint George,70.45,14,1,3.0,37.1041,-113.5841
165,Acajutla,78.8,85,100,4.79,13.5928,-89.8275
166,Lüderitz,69.28,44,100,7.45,-26.6481,15.1594
167,Takoradze,80.69,80,99,4.9,4.8845,-1.7554
168,Ahipara,58.51,91,97,5.39,-35.1667,173.1667
169,Nindirí,75.69,88,100,3.09,12.0039,-86.1213
170,San Miguel de Tucumán,51.8,82,0,6.91,-26.8241,-65.2226
171,Talnakh,35.19,100,100,5.35,69.4865,88.3972
172,Aykhal,51.53,51,100,24.09,66.0,111.5
173,Mount Gambier,53.51,87,100,8.05,-37.8333,140.7667
174,Bathsheba,79.41,69,40,16.11,13.2167,-59.5167
175,Kefamenanu,77.09,72,87,8.61,-9.4467,124.4781
176,Palizada,74.39,98,100,0.92,18.25,-92.0833
177,Kondinskoye,78.22,29,83,11.3,59.6481,67.41
178,Salalah,89.58,64,55,14.83,17.0151,54.0924
179,Salima,74.26,45,0,8.57,-13.7804,34.4587
180,Coahuayana Viejo,78.28,86,95,1.36,18.7333,-103.6833
181,Meulaboh,85.71,64,100,7.99,4.1363,96.1285
182,Arraial do Cabo,71.1,68,100,19.6,-22.9661,-42.0278
183,Amacuzac,71.78,71,99,1.86,18.5833,-99.35
184,Sinnamary,74.26,92,99,5.61,5.3833,-52.95
185,Vardø,71.58,43,0,19.57,70.3705,31.1107
186,Bilma,97.05,14,96,19.89,18.6853,12.9164
187,Wau,96.6,31,98,4.12,7.7029,27.9953
188,Huarmey,64.83,87,55,6.26,-10.0681,-78.1522
189,Shache,90.63,12,2,13.2,38.4167,77.2406
190,Beloha,78.3,41,0,6.04,-25.1667,45.05
191,Yatou,75.09,68,100,7.87,37.15,122.3833
192,Kaitangata,47.93,83,98,4.07,-46.2817,169.8464
193,Marawi,71.33,94,99,3.67,7.9986,124.2928
194,Samarai,80.73,84,36,12.66,-10.6167,150.6667
195,Serendah,87.6,66,100,0.76,3.3646,101.6041
196,Shingū,76.91,71,95,5.77,33.7333,135.9833
197,Tarauacá,68.23,96,100,5.82,-8.1614,-70.7656
198,Eilat,95.36,19,0,10.85,29.5581,34.9482
199,Fortuna,60.75,88,90,1.99,40.5982,-124.1573
200,Nemuro,66.63,95,60,24.96,43.3236,145.575
201,Bengkulu,84.22,67,11,7.02,-3.8004,102.2655
202,Norman Wells,53.64,82,90,6.91,65.282,-126.8329
203,Wagar,103.89,17,94,7.23,16.1525,36.2032
204,Touros,72.5,93,100,11.97,-5.1989,-35.4608
205,Abu Kamal,86.34,24,0,15.86,34.4506,40.9171
206,Qandala,94.91,46,8,5.93,11.472,49.8728
207,Lorengau,81.52,78,15,8.99,-2.0226,147.2712
208,Padang,84.52,66,100,4.38,-0.9492,100.3543
209,Boyolangu,83.21,69,42,7.14,-8.1181,111.8935
210,São Filipe,74.08,81,99,5.73,14.8961,-24.4956
211,Westport,62.17,90,90,3.0,41.1415,-73.3579
212,Stromness,53.56,82,100,27.36,58.965,-3.296
213,Poum,75.22,79,100,16.4,-20.2333,164.0167
214,Mayor Pablo Lagerenza,52.95,84,0,3.74,-19.9309,-60.7718
215,Sémbé,77.9,79,100,3.47,1.6481,14.5806
216,Burgeo,43.48,84,39,2.71,47.6167,-57.6152
217,Kazachinskoye,69.08,27,13,2.82,57.6953,93.2761
218,Nabire,79.59,86,95,2.17,-3.3667,135.4833
219,Waipawa,52.21,92,100,4.88,-41.4122,175.5153
220,Cayenne,74.08,91,90,0.0,4.9333,-52.3333
221,Neiafu,76.68,68,73,26.44,-18.65,-173.9833
222,Cabo San Lucas,79.52,68,7,8.32,22.8909,-109.9124
223,Kiruna,49.12,93,90,10.36,67.8557,20.2251
224,Linjiang,85.3,38,93,5.06,41.8069,126.9078
225,Naples,76.98,51,0,1.01,40.8333,14.25
226,Kumul,84.09,21,72,7.29,42.8,93.45
227,Salina Cruz,74.19,91,100,8.48,16.1667,-95.2
228,Okhotsk,52.0,59,4,10.8,59.3833,143.3
229,Yemel'yanovo,65.21,32,0,6.71,56.1681,92.6767
230,Sabang,83.62,75,79,20.67,5.8933,95.3214
231,San Luis,54.3,51,97,9.66,-33.295,-66.3356
232,Sept-Îles,50.07,69,75,1.99,50.2001,-66.3821
233,Alice Springs,74.21,21,32,11.99,-23.7,133.8833
234,Mil'kovo,58.23,84,100,3.27,54.7167,158.6167
235,Lakselv,71.33,53,40,16.11,70.0513,24.9718
236,Smithers,50.32,76,20,2.3,54.7804,-127.1743
237,Svirstroy,64.71,63,100,1.19,60.7999,33.7248
238,Songyang,89.55,48,100,11.63,34.4553,113.0281
239,Mersing,85.91,79,40,4.61,2.4312,103.8405
240,Marystown,46.85,100,80,12.57,47.1666,-55.1483
241,Snyder,76.01,60,1,4.61,32.7179,-100.9176
242,Bethal,59.56,40,0,5.95,-26.4579,29.4655
243,Naberera,61.36,71,100,10.45,-4.2,36.9333
244,Saldanha,53.65,72,100,3.42,-33.0117,17.9442
245,Pandamatenga,66.27,34,0,10.13,-18.5278,25.627
246,Morehead,71.85,99,40,0.0,37.2711,-87.1764
247,Camacha,63.82,72,75,11.5,33.0833,-16.3333
248,Saint-François,69.64,78,0,4.61,46.4154,3.9054
249,Kagoro,75.79,73,100,3.67,9.6,8.3833
250,Oranjemund,68.27,41,99,1.45,-28.55,16.4333
251,Hamilton,69.33,96,90,1.01,39.1834,-84.5333
252,Preobrazheniye,71.85,62,13,15.75,42.9019,133.9064
253,Suntar,64.96,25,97,9.04,62.1444,117.6319
254,Egvekinot,42.4,65,67,3.96,66.3167,-179.1667
255,Atbasar,70.9,28,5,7.23,51.8,68.3333
256,Tahe,80.46,29,79,4.29,52.3333,124.7333
257,Zaysan,65.98,37,8,15.39,47.4667,84.8667
258,Lake in the Hills,70.47,89,100,1.01,42.1817,-88.3304
259,Cranbourne,55.94,83,98,1.99,-38.1,145.2833
260,Aswān,105.82,11,0,16.51,24.0934,32.907
261,Pāsighāt,85.5,75,91,2.37,28.0667,95.3333
262,Henties Bay,65.39,69,63,5.03,-22.116,14.2845
263,Mēga,61.48,70,100,14.05,4.05,38.3
264,Chake Chake,79.5,68,30,15.59,-5.2459,39.7666
265,Luwuk,82.92,80,92,4.5,-0.9516,122.7875
266,Tiksi,44.92,61,100,14.63,71.6872,128.8694
267,Quang Ngai,86.7,62,100,3.76,15.1167,108.8
268,Chapais,42.58,66,0,4.56,49.7834,-74.8492
269,Vila,60.84,57,92,5.88,42.0304,-8.1588
270,Tortosa,81.19,46,4,4.81,40.8125,0.5216
271,Dunedin,47.8,85,95,3.0,-45.8742,170.5036
272,Pevek,34.09,86,24,2.37,69.7008,170.3133
273,Ribeira Grande,66.6,82,40,6.91,38.5167,-28.7
274,Bonthe,77.25,86,100,4.21,7.5264,-12.505
275,Muborak,98.4,11,0,18.7,39.2553,65.1528
276,Cumbum,87.03,53,99,12.24,9.7333,77.3
277,Kharian,96.15,19,0,4.99,32.8149,73.8636
278,Winnemucca,57.25,35,1,3.44,40.973,-117.7357
279,Ixtapa,81.23,78,13,1.7,20.7,-105.2
280,Shitkino,69.33,25,6,3.38,56.3703,98.3543
281,Sumbe,77.9,71,0,8.03,-11.2061,13.8437
282,Marsá Maţrūḩ,73.6,83,40,9.22,31.3525,27.2453
283,Zalaegerszeg,71.44,54,54,3.67,46.84,16.8439
284,Paján,70.09,92,56,2.68,-1.5667,-80.4167
285,Akhmīm,97.0,10,0,9.78,26.5622,31.745
286,North Bend,57.13,92,90,5.75,43.4065,-124.2243
287,Smolenka,77.07,38,40,11.18,52.1352,113.4974
288,Dalton,72.28,95,40,1.01,34.7698,-84.9702
289,Sioux Lookout,60.87,94,90,9.22,50.1001,-91.917
290,Hurbanovo,72.0,66,28,6.78,47.8698,18.1923
291,Port Augusta,58.71,54,100,6.2,-32.5,137.7667
292,Pontal do Paraná,54.52,91,79,2.8,-25.6533,-48.5128
293,Luanda,76.68,81,70,7.16,-8.8368,13.2343
294,Klaksvík,47.32,82,97,23.24,62.2266,-6.589
295,Vila Velha,69.75,88,75,11.5,-20.3297,-40.2925
296,Flinders,57.16,60,100,13.62,-34.5833,150.8552
297,Nuuk,38.88,80,48,3.0,64.1835,-51.7216
298,Itamarandiba,60.12,85,96,1.66,-17.8572,-42.8589
299,Pāli,104.56,25,0,17.25,25.7667,73.3333
300,Corpus Christi,80.98,87,75,5.99,27.8006,-97.3964
301,Avera,72.23,95,47,8.72,33.194,-82.5271
302,Kamaishi,79.75,78,11,13.85,39.2667,141.8833
303,Sangar,62.44,35,100,7.87,63.9242,127.4739
304,Oro Valley,77.94,10,0,4.0,32.3909,-110.9665
305,Dolzhanskaya,69.91,69,2,14.94,46.6311,37.8039
306,Paramonga,64.35,87,64,6.46,-10.6667,-77.8333
307,Haines Junction,51.75,66,100,1.14,60.7522,-137.5108
308,Makkah al Mukarramah,112.12,9,88,12.8,21.4267,39.8261
309,Zharkent,85.01,22,68,13.4,44.1628,80.0
310,Abu Samrah,81.0,30,0,18.99,35.3029,37.1841
311,Olinda,69.53,88,0,1.14,-8.0089,-34.8553
312,Benjamín Hill,80.28,11,16,8.32,30.1667,-111.1
313,Hobyo,84.88,60,85,24.02,5.3505,48.5268
314,Veshenskaya,74.19,58,8,11.27,49.6303,41.7334
315,Byron Bay,59.76,63,6,2.8,-28.65,153.6167
316,Esperance,62.44,75,60,11.03,-33.8667,121.9
317,Te Anau,51.04,94,100,2.13,-45.4167,167.7167
318,Province of Trapani,74.66,94,40,6.91,37.8333,12.6667
319,Coyhaique,46.35,66,0,3.44,-45.5752,-72.0662
320,Payson,57.38,36,1,4.61,40.0444,-111.7321
321,Axum,84.2,10,63,10.85,14.1245,38.7244
322,Fairbanks,57.74,64,1,3.44,64.8378,-147.7164
323,Kuril'sk,55.89,81,100,17.34,45.2333,147.8833
324,Grinnell,69.85,82,1,5.75,41.743,-92.7224
325,Policoro,76.42,39,57,6.82,40.2115,16.6726
326,West Bay,81.21,85,86,1.99,19.3667,-81.4167
327,Karpogory,78.82,23,91,10.11,64.0019,44.4451
328,Houma,76.46,94,1,4.61,29.5958,-90.7195
329,Zyryanka,66.27,28,0,11.79,65.75,150.85
330,Zhezkazgan,77.54,19,5,16.67,47.8043,67.7144
331,Khandyga,72.57,39,89,10.65,62.6667,135.6
332,Mayo,64.22,90,90,1.01,38.8876,-76.5119
333,Ţahţā,97.12,10,0,6.6,26.7693,31.5021
334,Biak,80.92,78,92,3.83,-0.9131,122.8766
335,Pimentel,66.0,84,14,3.0,-6.8367,-79.9342
336,Narsaq,38.97,86,100,2.71,60.9167,-46.05
337,Mahajanga,86.02,32,20,9.22,-15.7167,46.3167
338,Khanbari,75.51,85,100,2.04,27.3747,87.2039
339,Port Lincoln,57.16,64,100,7.87,-34.7333,135.8667
340,Katobu,76.95,93,99,2.93,-4.9408,122.5276
341,Romanovka,74.35,59,12,8.81,51.7443,42.7527
342,Qaqortoq,38.03,87,100,3.29,60.7167,-46.0333
343,Cedros,70.54,93,100,3.49,14.6,-87.1167
344,Geraldton,68.41,73,90,8.05,-28.7667,114.6
345,Soe,72.97,71,82,7.29,-9.8607,124.284
346,Tallahassee,76.01,91,75,1.01,30.4383,-84.2807
347,San Quintín,70.45,93,63,10.47,30.4833,-115.95
348,Solok,83.61,66,100,0.92,-0.7918,100.6593
349,Tessalit,97.09,14,0,10.67,20.1986,1.0114
350,Wiarton,56.5,94,90,2.3,44.7407,-81.1332
351,Carnarvon,71.67,53,90,10.36,-24.8667,113.6333
352,Vitim,65.46,32,67,4.74,59.4511,112.5578
353,Nipawin,57.24,94,90,16.11,53.3668,-104.0009
354,Kushima,73.44,98,100,6.26,31.4583,131.2333
355,Pantai Remis,89.33,59,79,3.83,4.4557,100.6288
356,Boa Vista,78.78,83,0,5.75,2.8197,-60.6733
357,Pionerskiy,67.84,83,100,14.12,54.9508,20.2275
358,Vega de Alatorre,76.68,78,100,4.47,20.0333,-96.6333
359,Olafsvik,40.95,56,12,8.72,64.8945,-23.7142
360,Codrington,54.59,81,100,7.14,-38.2667,141.9667
361,Arrondissement d'Ajaccio,73.38,53,0,4.61,42.0,8.9167
362,Puerto Carreño,76.95,86,100,2.28,6.189,-67.4859
363,Praia da Vitória,64.65,94,40,2.77,38.7333,-27.0667
364,Jizan,97.74,34,49,12.19,17.3333,42.6667
365,Constitución,54.63,88,0,5.95,-35.3333,-72.4167
366,Tucumã,72.61,95,100,3.89,-0.1833,-50.05
367,Cockburn Town,80.02,77,8,16.37,21.4612,-71.1419
368,Praxédis Guerrero,84.47,11,0,4.07,31.3667,-106.0167
369,Tiznit Province,75.51,35,3,3.69,29.5833,-9.5
370,Mehamn,63.41,59,17,16.64,71.0357,27.8492
371,Jinchang,87.69,16,52,5.77,38.4953,102.1739
372,Terrell,77.13,93,1,5.75,32.736,-96.2753
373,Agadez,94.84,15,0,19.04,19.75,10.25
374,Tottori-shi,77.07,65,75,11.5,35.5,134.2333
375,Langsa,89.71,58,74,6.15,4.4683,97.9683
376,Aksarka,71.67,44,100,18.45,66.5606,67.7975
377,Kurchum,67.5,33,17,14.12,48.5722,83.6542
378,Pandan,83.43,73,100,4.25,14.0453,124.1694
379,Saint-Joseph,75.87,74,55,13.98,-21.3667,55.6167
380,Effingham County,74.7,91,25,8.86,32.3669,-81.3332
381,Kununurra,85.98,15,74,5.75,-15.7667,128.7333
382,Peleduy,65.82,29,83,5.64,59.6289,112.7406
383,Mahibadhoo,84.0,73,95,14.09,3.7833,72.9667
384,Whitehorse,50.52,87,75,2.3,60.7161,-135.0538
385,Aklavik,58.03,53,100,6.4,68.2191,-135.0107
386,Pangnirtung,32.76,92,87,0.58,66.1451,-65.7125
387,Skjervøy,47.19,100,100,4.88,70.0311,20.9714
388,Fukuechō,75.56,100,75,8.05,32.6881,128.8419
389,Broome,60.94,87,90,1.01,42.2506,-75.833
390,Kumluca,77.05,60,0,8.34,36.3703,30.2869
391,Mengyin,94.37,31,100,8.99,35.7069,117.9264
392,Tooele,55.36,40,1,9.22,40.5308,-112.2983
393,Stornoway,52.18,76,75,17.27,58.2093,-6.3865
394,Arroio Grande,46.38,66,98,8.95,-32.2375,-53.0869
395,Oranjestad,80.91,83,20,1.99,12.524,-70.027
396,St. George's,80.28,83,20,16.11,12.0564,-61.7485
397,Lázaro Cárdenas,80.17,79,99,2.24,17.9583,-102.2
398,Korla,79.07,21,100,15.59,41.7597,86.1469
399,Nome,44.67,93,90,8.05,64.5011,-165.4064
400,Monrovia,76.77,79,98,2.33,6.3005,-10.7969
401,Rawson,58.3,57,100,22.88,-43.3002,-65.1023
402,Aguié,89.64,39,98,12.88,13.506,7.7786
403,Flin Flon,54.16,99,100,7.61,54.7682,-101.865
404,Larkana,102.27,24,0,5.48,27.5551,68.2141
405,Linkou,81.32,42,6,4.45,45.3,130.2833
406,Aripuanã,72.55,78,40,3.83,-9.1667,-60.6333
407,Castrovillari,72.28,43,51,1.01,39.8203,16.2123
408,Durban,69.93,57,0,3.0,-29.8579,31.0292
409,Oodweyne,84.87,35,70,21.0,9.4092,45.064
410,Kutum,94.28,18,65,5.23,14.2,24.6667
411,Havre-St-Pierre,46.76,76,90,8.05,50.2334,-63.5986
412,Brae,51.71,81,100,22.41,60.3964,-1.353
413,Ust-Kuyga,54.57,63,50,18.97,70.0167,135.6
414,High Level,44.71,100,1,2.3,58.5169,-117.136
415,Palana,42.71,78,11,5.17,59.1167,159.9667
416,Alofi,73.29,73,100,16.11,-19.0595,-169.9187
417,Nur-Sultan,67.95,30,75,13.42,51.1801,71.446
418,Tautira,77.02,75,100,6.31,-17.7333,-149.15
419,Onguday,50.77,91,100,4.85,50.75,86.15
420,Santa Rosa,83.23,79,100,4.0,14.3122,121.1114
421,Imbituba,58.89,90,71,5.84,-28.24,-48.6703
422,Acapulco de Juárez,79.41,83,100,4.12,16.8634,-99.8901
423,Beringovskiy,36.81,98,100,2.77,63.05,179.3167
424,Evensk,54.99,50,75,3.65,61.95,159.2333
425,Kholodnyy,66.16,25,10,3.91,62.7167,147.95
426,Asău,68.94,60,99,2.37,46.4333,26.4
427,Begamganj,97.65,35,57,10.09,23.6,78.3333
428,Aars,57.87,72,37,18.68,56.804,9.5144
429,Saint Anthony,68.83,60,1,1.99,45.0205,-93.218
430,Dandong,77.34,68,56,7.76,40.1292,124.3947
431,Sahuaripa,82.98,13,1,5.68,29.05,-109.2333
432,Ca Mau,82.53,77,100,7.2,9.1769,105.15
433,Novobirilyussy,67.39,29,29,4.65,56.9514,90.6661
434,Benghazi,74.14,67,1,10.94,32.1167,20.0667
435,Labuhan,86.95,63,5,12.41,-6.8844,112.2051
436,Makakilo City,74.19,75,1,6.91,21.3469,-158.0858
437,Vila Franca do Campo,64.81,77,0,2.28,37.7167,-25.4333
438,Agüimes,68.63,68,20,21.85,27.9054,-15.4461
439,Port-Cartier,52.0,62,61,5.86,50.0334,-66.8654
440,Maroantsetra,69.15,92,100,2.8,-15.4333,49.7333
441,Phanom Sarakham,80.13,71,100,8.77,13.7479,101.3553
442,Thessalon,53.91,93,66,4.97,46.2501,-83.5666
443,Cacheu,80.65,78,99,3.8,12.2706,-16.1658
444,Kuito,57.34,51,0,9.22,-12.3833,16.9333
445,Atyashevo,66.02,81,100,6.13,54.5644,46.0691
446,Batagay,64.9,32,79,12.57,67.6333,134.6333
447,Bereda,63.16,86,64,5.99,43.2686,-7.5406
448,Gunnedah,53.22,89,38,4.92,-30.9833,150.25
449,Kwidzyn,68.68,73,100,10.6,53.7249,18.9311
450,Molokovo,62.87,76,100,10.31,58.1661,36.7628
